Scenario,Ratio,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
SSP1,Avg Ratio,0.176798292,0.191614473,0.205386601,0.219158729,0.207518383,0.195878036,0.185040551,0.174203065,0.164786032,0.155368999,0.150443665,0.14551833,0.142501431,0.139484532,0.137792038,0.136099544,0.135764657,0.13542977
SSP1,Max,0.189189636,0.214275661,0.228915371,0.243555082,0.230392835,0.217230588,0.213277599,0.209324609,0.202211083,0.195097557,0.190974725,0.186851893,0.186846115,0.186840336,0.187693502,0.188546669,0.189081742,0.189616815
SSP1,Min,0.171801367,0.182324312,0.193236723,0.204149134,0.191266564,0.178383994,0.163034892,0.14768579,0.136034132,0.124382474,0.117708918,0.111035361,0.107309822,0.103584282,0.101271556,0.098958829,0.095474708,0.091990586
SSP2,Avg Ratio,0.189568167,0.216055315,0.221790847,0.227526379,0.224375027,0.221223675,0.206871174,0.192518674,0.180040144,0.167561614,0.160134457,0.152707301,0.146929694,0.141152086,0.137073859,0.132995632,0.130578669,0.128161705
SSP2,Max,0.191191884,0.219177342,0.24698477,0.274792198,0.263415127,0.252038056,0.229327351,0.206616647,0.196193128,0.185769608,0.18387948,0.181989352,0.179346059,0.176702766,0.174678281,0.172653796,0.171274274,0.169894752
SSP2,Min,0.188472805,0.214031915,0.209412343,0.204792771,0.20492071,0.205048649,0.191669466,0.178290282,0.164028135,0.149765989,0.140444506,0.131123024,0.126014413,0.120905803,0.115794567,0.110683331,0.104782366,0.098881401
SSP3,Avg Ratio,0.178165275,0.195684303,0.209849193,0.224014082,0.234001365,0.243988647,0.231569865,0.219151082,0.211891738,0.204632393,0.202418031,0.20020367,0.199649583,0.199095497,0.199926801,0.200758105,0.20250474,0.204251375
SSP3,Max,0.179815654,0.198790678,0.213882142,0.228973606,0.245683309,0.262393013,0.244290158,0.226187303,0.219722022,0.21325674,0.211960732,0.210664724,0.210145299,0.209625874,0.21052325,0.211420625,0.212805867,0.21419111
SSP3,Min,0.174747742,0.189432389,0.201626984,0.213821578,0.219826729,0.22583188,0.220610946,0.215390012,0.206369152,0.197348292,0.194107519,0.190866746,0.190156939,0.189447132,0.191484353,0.193521574,0.194671508,0.195821443
SSP4,Avg Ratio,0.183759079,0.205577901,0.21993079,0.23428368,0.240724914,0.247166149,0.248133907,0.249101666,0.247906105,0.246710545,0.246448752,0.246186959,0.249421442,0.252655925,0.254735249,0.256814573,0.259020652,0.261226731
SSP4,Max,0.186062351,0.210111783,0.241371236,0.272630688,0.282115515,0.291600342,0.290020148,0.288439954,0.287456094,0.286472235,0.289215803,0.291959371,0.302617348,0.313275326,0.326763332,0.340251339,0.360980104,0.38170887
SSP4,Min,0.182231567,0.202813519,0.208615979,0.21441844,0.215985461,0.217552482,0.213087879,0.208623275,0.203520819,0.198418363,0.196391648,0.194364933,0.196791313,0.199217694,0.199951155,0.200684617,0.200511381,0.200338144
SSP5,Avg Ratio,0.201025175,0.238318421,0.250924622,0.263530824,0.258168926,0.252807029,0.241032829,0.229258629,0.216334185,0.20340974,0.19543026,0.18745078,0.180844031,0.174237282,0.166660606,0.15908393,0.151811246,0.144538562
SSP5,Max,0.201517089,0.239209913,0.253985417,0.268760922,0.276310947,0.283860971,0.284457252,0.285053533,0.276739784,0.268426034,0.25882098,0.249215925,0.238942533,0.228669141,0.217656318,0.206643496,0.212641228,0.21863896
SSP5,Min,0.199435987,0.235579034,0.245383752,0.25518847,0.23825016,0.22131185,0.206179856,0.191047862,0.17946407,0.167880279,0.157822089,0.147763899,0.141967114,0.136170329,0.131132607,0.126094886,0.115732868,0.105370849
